Rent,Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Listing_Title,Listing_Description,Amenities_Text,Landmarks_Text,Reviews_Text,Complaints_Text,Lease_Rules_Text,Inquiry_Text,Inspection_Notes_Text,Scam_Flag,Scam_Rationale,Cluster
10500,2022-07-06,2,1080,1 out of 2,super area,ponmar,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in ponmar, chennai","2 bhk unfurnished home of 1080 sq ft (super area). location: ponmar, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 10500 per month.","internet ready, parking, intercom, waste management, solar lighting, power backup, fire safety",near bank (3.5 km); near railway station (3.5 km); near atm (2.6 km),maintenance is timely and professional. | easy access to public transport. | safe area with friendly neighbors.,not_applicable,one month notice required before vacating. security deposit is two months rent. no smoking inside the house.,searching for a rental with parking and lift around ponmar.,flooring shows normal wear. bathrooms are clean and functional. walls need minor repainting.,no,not_applicable,1
29000,2022-05-26,2,1300,ground out of 2,super area,annanagar west,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in annanagar west, chennai","2 bhk semi-furnished home of 1300 sq ft (super area). location: annanagar west, chennai. floor: ground out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 29000 per month.","security, visitor parking, parking, internet ready, water supply, power backup, solar lighting, rainwater harvesting",near church (1.7 km); near school (1.3 km); near pharmacy (1.8 km),clean and well maintained building. | safe area with friendly neighbors. | parking is convenient and secure.,not_applicable,no loud music after 10 pm. pets allowed only with prior approval. tenant must follow society by-laws. one month notice required before vacating.,searching for a rental with parking and lift around annanagar west.,good natural light in living room. flooring shows normal wear. bathrooms are clean and functional.,no,not_applicable,1
26000,2022-07-10,2,1027,15 out of 19,super area,karapakkam,chennai,semi-furnished,bachelors,2,contact agent,"2 bhk semi-furnished home in karapakkam, chennai","2 bhk semi-furnished home of 1027 sq ft (super area). location: karapakkam, chennai. floor: 15 out of 19. bathrooms: 2. tenant preference: bachelors. rent: inr 26000 per month.","parking, community hall, cctv, rainwater harvesting, intercom, visitor parking, internet ready",near temple (3.8 km); near clinic (1.4 km); near bank (1.7 km); near park (3.2 km),good water supply and quiet neighborhood. | parking is convenient and secure.,water supply issues on some days. | unexpected maintenance charges were added.,pets allowed only with prior approval. tenant must follow society by-laws. no smoking inside the house.,"need a semi-furnished home in chennai, prefer bachelors.",electrical fittings are working properly. bathrooms are clean and functional. flooring shows normal wear.,yes,owner refused physical visit. | unusually low rent for the area.,1
25000,2022-07-06,3,1350,ground out of 2,super area,alandur,chennai,furnished,family,3,contact owner,"3 bhk furnished home in alandur, chennai","3 bhk furnished home of 1350 sq ft (super area). location: alandur, chennai. floor: ground out of 2. bathrooms: 3. tenant preference: family. rent: inr 25000 per month.","security, internet ready, play area, community hall, lift, visitor parking, water supply",near clinic (1.0 km); near temple (2.9 km); near railway station (2.6 km); near church (3.6 km),clean and well maintained building. | spacious rooms and good ventilation. | owner is responsive and helpful.,not_applicable,one month notice required before vacating. security deposit is two months rent. pets allowed only with prior approval.,"want to move in next month, budget around inr 25000.",flooring shows normal wear. bathrooms are clean and functional.,no,not_applicable,0
10000,2022-05-12,2,950,1 out of 2,super area,selaiyur,chennai,unfurnished,family,2,contact owner,"2 bhk unfurnished home in selaiyur, chennai","2 bhk unfurnished home of 950 sq ft (super area). location: selaiyur, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: family. rent: inr 10000 per month.","fire safety, gym, rainwater harvesting, waste management, internet ready, gated community, cctv",near mall (3.3 km); near mosque (3.3 km); near railway station (0.8 km),clean and well maintained building. | parking is convenient and secure. | spacious rooms and good ventilation.,not_applicable,security deposit is two months rent. no loud music after 10 pm. tenant must follow society by-laws. maintenance charges are extra.,searching for a rental with parking and lift around selaiyur.,bathrooms are clean and functional. kitchen cabinets in good condition.,no,not_applicable,1
14000,2022-05-12,2,1300,1 out of 2,super area,iyyappanthangal,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in iyyappanthangal, chennai","2 bhk unfurnished home of 1300 sq ft (super area). location: iyyappanthangal, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 14000 per month.","internet ready, cctv, maintenance staff, parking, park, play area, fire safety, water supply",near mosque (1.8 km); near bus stop (1.7 km),good water supply and quiet neighborhood. | owner is responsive and helpful. | maintenance is timely and professional.,not_applicable,pets allowed only with prior approval. no loud music after 10 pm. tenant must follow society by-laws.,"need a unfurnished home in chennai, prefer bachelors/family.",walls need minor repainting. kitchen cabinets in good condition.,no,not_applicable,1
6000,2022-05-12,2,600,1 out of 3,super area,poonamallee,chennai,unfurnished,bachelors/family,1,contact owner,"2 bhk unfurnished home in poonamallee, chennai","2 bhk unfurnished home of 600 sq ft (super area). location: poonamallee, chennai. floor: 1 out of 3. bathrooms: 1. tenant preference: bachelors/family. rent: inr 6000 per month.","cctv, fire safety, waste management, power backup, parking, internet ready, solar lighting, security",near mall (0.7 km); near mosque (1.4 km),good water supply and quiet neighborhood. | clean and well maintained building. | maintenance is timely and professional.,not_applicable,maintenance charges are extra. security deposit is two months rent. one month notice required before vacating. no loud music after 10 pm.,looking for a 2 bhk near poonamallee within inr 6000.,flooring shows normal wear. good natural light in living room. walls need minor repainting.,no,not_applicable,1
40000,2022-05-16,3,1428,ground out of 2,super area,"chromepet, gst road",chennai,unfurnished,bachelors,2,contact owner,"3 bhk unfurnished home in chromepet, gst road, chennai","3 bhk unfurnished home of 1428 sq ft (super area). location: chromepet, gst road, chennai. floor: ground out of 2. bathrooms: 2. tenant preference: bachelors. rent: inr 40000 per month.","cctv, intercom, maintenance staff, power backup, rainwater harvesting, security",near mosque (0.6 km); near school (3.9 km); near atm (0.6 km); near church (2.2 km),safe area with friendly neighbors. | maintenance is timely and professional.,not_applicable,no loud music after 10 pm. maintenance charges are extra. one month notice required before vacating. pets allowed only with prior approval.,"searching for a rental with parking and lift around chromepet, gst road.",kitchen cabinets in good condition. walls need minor repainting.,no,not_applicable,0
23000,2022-06-20,2,920,2 out of 2,carpet area,kk nagar,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in kk nagar, chennai","2 bhk semi-furnished home of 920 sq ft (carpet area). location: kk nagar, chennai. floor: 2 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 23000 per month.","park, security, visitor parking, cctv, lift, water supply, club house",near school (2.1 km); near church (1.0 km); near park (0.8 km),clean and well maintained building. | owner is responsive and helpful. | good water supply and quiet neighborhood.,not_applicable,tenant must follow society by-laws. no smoking inside the house. no loud music after 10 pm.,searching for a rental with parking and lift around kk nagar.,flooring shows normal wear. electrical fittings are working properly. good natural light in living room.,no,not_applicable,1
10000,2022-06-28,2,600,ground out of 2,carpet area,sadhanadhapuram,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in sadhanadhapuram, chennai","2 bhk semi-furnished home of 600 sq ft (carpet area). location: sadhanadhapuram, chennai. floor: ground out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 10000 per month.","lift, gym, intercom, rainwater harvesting, solar lighting, maintenance staff, visitor parking",near market (1.7 km); near hospital (3.6 km); near temple (3.1 km),parking is convenient and secure. | good water supply and quiet neighborhood. | spacious rooms and good ventilation.,unexpected maintenance charges were added. | water supply issues on some days.,maintenance charges are extra. one month notice required before vacating. no loud music after 10 pm.,"want to move in next month, budget around inr 10000.",flooring shows normal wear. kitchen cabinets in good condition.,yes,unusually low rent for the area. | inconsistent photos and description. | owner refused physical visit.,1
10000,2022-06-11,2,810,ground out of 1,carpet area,"tambaram west, tambaram, chennai bypass road",chennai,unfurnished,bachelors,1,contact owner,"2 bhk unfurnished home in tambaram west, tambaram, chennai bypass road, chennai","2 bhk unfurnished home of 810 sq ft (carpet area). location: tambaram west, tambaram, chennai bypass road, chennai. floor: ground out of 1. bathrooms: 1. tenant preference: bachelors. rent: inr 10000 per month.","intercom, waste management, maintenance staff, water supply, community hall, internet ready, park",near park (1.3 km); near mosque (3.9 km),good water supply and quiet neighborhood. | parking is convenient and secure.,not_applicable,pets allowed only with prior approval. security deposit is two months rent. no smoking inside the house. no loud music after 10 pm.,"need a unfurnished home in chennai, prefer bachelors.",walls need minor repainting. bathrooms are clean and functional. good natural light in living room.,no,not_applicable,1
15000,2022-06-02,2,1200,ground out of 2,super area,ramapuram,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in ramapuram, chennai","2 bhk semi-furnished home of 1200 sq ft (super area). location: ramapuram, chennai. floor: ground out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 15000 per month.","rainwater harvesting, solar lighting, gated community, lift, cctv, visitor parking",near park (3.1 km); near mall (2.4 km); near supermarket (2.3 km),parking is convenient and secure. | maintenance is timely and professional. | owner is responsive and helpful.,not_applicable,no loud music after 10 pm. tenant must follow society by-laws. no smoking inside the house.,"want to move in next month, budget around inr 15000.",flooring shows normal wear. walls need minor repainting. kitchen cabinets in good condition.,no,not_applicable,1
11000,2022-05-12,1,550,3 out of 4,super area,poongavanapuram,chennai,semi-furnished,bachelors/family,1,contact owner,"1 bhk semi-furnished home in poongavanapuram, chennai","1 bhk semi-furnished home of 550 sq ft (super area). location: poongavanapuram, chennai. floor: 3 out of 4. bathrooms: 1. tenant preference: bachelors/family. rent: inr 11000 per month.","waste management, gym, intercom, fire safety, community hall, lift, parking",near church (3.6 km); near school (1.9 km),parking is convenient and secure. | maintenance is timely and professional.,not_applicable,maintenance charges are extra. no loud music after 10 pm. security deposit is two months rent. pets allowed only with prior approval.,searching for a rental with parking and lift around poongavanapuram.,good natural light in living room. bathrooms are clean and functional.,no,not_applicable,1
20000,2022-05-12,2,600,1 out of 2,super area,"egmore, ph road",chennai,unfurnished,family,1,contact owner,"2 bhk unfurnished home in egmore, ph road, chennai","2 bhk unfurnished home of 600 sq ft (super area). location: egmore, ph road, chennai. floor: 1 out of 2. bathrooms: 1. tenant preference: family. rent: inr 20000 per month.","internet ready, park, security, gym, cctv, play area, gated community",near metro station (2.4 km); near park (2.0 km); near market (3.9 km),good water supply and quiet neighborhood. | clean and well maintained building.,not_applicable,one month notice required before vacating. maintenance charges are extra. tenant must follow society by-laws. security deposit is two months rent.,"want to move in next month, budget around inr 20000.",bathrooms are clean and functional. kitchen cabinets in good condition.,no,not_applicable,1
15000,2022-05-12,2,850,ground out of 2,super area,old mahabalipuram road,chennai,furnished,bachelors/family,1,contact owner,"2 bhk furnished home in old mahabalipuram road, chennai","2 bhk furnished home of 850 sq ft (super area). location: old mahabalipuram road, chennai. floor: ground out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 15000 per month.","waste management, solar lighting, internet ready, rainwater harvesting, cctv",near school (3.7 km); near clinic (0.5 km); near college (0.8 km); near market (0.9 km),owner is responsive and helpful. | maintenance is timely and professional.,not_applicable,pets allowed only with prior approval. security deposit is two months rent. tenant must follow society by-laws.,looking for a 2 bhk near old mahabalipuram road within inr 15000.,bathrooms are clean and functional. flooring shows normal wear. kitchen cabinets in good condition.,no,not_applicable,1
22000,2022-06-27,4,2117,20 out of 20,carpet area,sholinganallur,chennai,semi-furnished,bachelors/family,4,contact owner,"4 bhk semi-furnished home in sholinganallur, chennai","4 bhk semi-furnished home of 2117 sq ft (carpet area). location: sholinganallur, chennai. floor: 20 out of 20. bathrooms: 4. tenant preference: bachelors/family. rent: inr 22000 per month.","intercom, play area, parking, internet ready, water supply, solar lighting",near clinic (3.0 km); near school (2.5 km); near atm (3.4 km); near bank (2.4 km),good water supply and quiet neighborhood. | clean and well maintained building.,not_applicable,maintenance charges are extra. no smoking inside the house. security deposit is two months rent. one month notice required before vacating.,looking for a 4 bhk near sholinganallur within inr 22000.,good natural light in living room. flooring shows normal wear. kitchen cabinets in good condition.,no,not_applicable,0
6000,2022-04-30,2,900,1 out of 1,super area,guduvancheri,chennai,unfurnished,bachelors,2,contact owner,"2 bhk unfurnished home in guduvancheri, chennai","2 bhk unfurnished home of 900 sq ft (super area). location: guduvancheri, chennai. floor: 1 out of 1. bathrooms: 2. tenant preference: bachelors. rent: inr 6000 per month.","fire safety, park, gated community, intercom, waste management, lift, rainwater harvesting",near school (1.8 km); near church (2.0 km),owner is responsive and helpful. | maintenance is timely and professional. | parking is convenient and secure.,unexpected maintenance charges were added. | owner delayed returning security deposit.,tenant must follow society by-laws. pets allowed only with prior approval. security deposit is two months rent.,looking for a 2 bhk near guduvancheri within inr 6000.,bathrooms are clean and functional. electrical fittings are working properly. walls need minor repainting.,yes,inconsistent photos and description. | unusually low rent for the area. | asked for payment before sharing address.,1
20000,2022-05-12,2,1000,ground out of 1,super area,thiruvanmiyur,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in thiruvanmiyur, chennai","2 bhk semi-furnished home of 1000 sq ft (super area). location: thiruvanmiyur, chennai. floor: ground out of 1. bathrooms: 2. tenant preference: bachelors/family. rent: inr 20000 per month.","lift, intercom, gated community, maintenance staff, park",near atm (1.0 km); near mall (0.9 km),maintenance is timely and professional. | owner is responsive and helpful. | spacious rooms and good ventilation.,broker asked for advance without visit.,security deposit is two months rent. one month notice required before vacating. no smoking inside the house. tenant must follow society by-laws.,searching for a rental with parking and lift around thiruvanmiyur.,walls need minor repainting. kitchen cabinets in good condition.,yes,inconsistent photos and description. | owner refused physical visit. | unusually low rent for the area.,1
6500,2022-05-12,1,500,2 out of 3,super area,"aminjikarai, ph road",chennai,unfurnished,bachelors/family,1,contact owner,"1 bhk unfurnished home in aminjikarai, ph road, chennai","1 bhk unfurnished home of 500 sq ft (super area). location: aminjikarai, ph road, chennai. floor: 2 out of 3. bathrooms: 1. tenant preference: bachelors/family. rent: inr 6500 per month.","maintenance staff, cctv, club house, rainwater harvesting, gated community",near bus stop (2.4 km); near temple (1.0 km); near metro station (2.3 km),safe area with friendly neighbors. | easy access to public transport.,not_applicable,tenant must follow society by-laws. security deposit is two months rent. pets allowed only with prior approval. no loud music after 10 pm.,"need a unfurnished home in chennai, prefer bachelors/family.",electrical fittings are working properly. kitchen cabinets in good condition.,no,not_applicable,1
12000,2022-05-12,2,800,1 out of 3,super area,"purasawalkam, ph road",chennai,semi-furnished,bachelors/family,1,contact owner,"2 bhk semi-furnished home in purasawalkam, ph road, chennai","2 bhk semi-furnished home of 800 sq ft (super area). location: purasawalkam, ph road, chennai. floor: 1 out of 3. bathrooms: 1. tenant preference: bachelors/family. rent: inr 12000 per month.","play area, rainwater harvesting, cctv, gym, gated community, club house, power backup",near bus stop (2.9 km); near clinic (3.3 km),owner is responsive and helpful. | easy access to public transport. | safe area with friendly neighbors.,not_applicable,pets allowed only with prior approval. security deposit is two months rent. tenant must follow society by-laws.,"need a semi-furnished home in chennai, prefer bachelors/family.",flooring shows normal wear. kitchen cabinets in good condition. good natural light in living room.,no,not_applicable,1
27000,2022-05-12,2,1550,2 out of 3,super area,alwarpet,chennai,semi-furnished,bachelors/family,3,contact owner,"2 bhk semi-furnished home in alwarpet, chennai","2 bhk semi-furnished home of 1550 sq ft (super area). location: alwarpet, chennai. floor: 2 out of 3. bathrooms: 3. tenant preference: bachelors/family. rent: inr 27000 per month.","community hall, intercom, fire safety, power backup, rainwater harvesting, water supply, visitor parking, lift",near bank (2.1 km); near metro station (3.9 km); near mall (3.2 km),clean and well maintained building. | easy access to public transport.,not_applicable,no smoking inside the house. security deposit is two months rent. maintenance charges are extra. one month notice required before vacating.,"need a semi-furnished home in chennai, prefer bachelors/family.",walls need minor repainting. flooring shows normal wear.,no,not_applicable,0
15000,2022-05-12,2,1500,ground out of 1,super area,madanankppam,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in madanankppam, chennai","2 bhk unfurnished home of 1500 sq ft (super area). location: madanankppam, chennai. floor: ground out of 1. bathrooms: 2. tenant preference: bachelors/family. rent: inr 15000 per month.","gym, power backup, waste management, visitor parking, maintenance staff",near mosque (1.8 km); near college (3.2 km),clean and well maintained building. | parking is convenient and secure. | good water supply and quiet neighborhood.,not_applicable,security deposit is two months rent. pets allowed only with prior approval. one month notice required before vacating.,"want to move in next month, budget around inr 15000.",bathrooms are clean and functional. electrical fittings are working properly. kitchen cabinets in good condition.,no,not_applicable,1
20000,2022-05-15,3,1700,ground out of 1,carpet area,thirumazhisai,chennai,furnished,bachelors/family,6,contact owner,"3 bhk furnished home in thirumazhisai, chennai","3 bhk furnished home of 1700 sq ft (carpet area). location: thirumazhisai, chennai. floor: ground out of 1. bathrooms: 6. tenant preference: bachelors/family. rent: inr 20000 per month.","club house, fire safety, gym, park, solar lighting, community hall, cctv",near bank (2.9 km); near mall (2.9 km),parking is convenient and secure. | spacious rooms and good ventilation. | owner is responsive and helpful.,not_applicable,pets allowed only with prior approval. no loud music after 10 pm. security deposit is two months rent. one month notice required before vacating.,"want to move in next month, budget around inr 20000.",bathrooms are clean and functional. kitchen cabinets in good condition. walls need minor repainting.,no,not_applicable,0
22000,2022-06-28,2,700,3 out of 4,super area,t nagar,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in t nagar, chennai","2 bhk semi-furnished home of 700 sq ft (super area). location: t nagar, chennai. floor: 3 out of 4. bathrooms: 2. tenant preference: bachelors/family. rent: inr 22000 per month.","parking, rainwater harvesting, waste management, club house, fire safety, security, play area",near market (2.6 km); near mall (2.5 km); near railway station (1.2 km); near bus stop (2.8 km),spacious rooms and good ventilation. | clean and well maintained building.,not_applicable,one month notice required before vacating. pets allowed only with prior approval. tenant must follow society by-laws.,looking for a 2 bhk near t nagar within inr 22000.,walls need minor repainting. flooring shows normal wear.,no,not_applicable,1
7000,2022-05-12,1,400,1 out of 3,super area,koyambedu,chennai,unfurnished,bachelors/family,1,contact owner,"1 bhk unfurnished home in koyambedu, chennai","1 bhk unfurnished home of 400 sq ft (super area). location: koyambedu, chennai. floor: 1 out of 3. bathrooms: 1. tenant preference: bachelors/family. rent: inr 7000 per month.","maintenance staff, fire safety, community hall, gym, intercom, water supply",near bus stop (2.4 km); near railway station (2.3 km); near atm (3.0 km),owner is responsive and helpful. | spacious rooms and good ventilation.,not_applicable,no loud music after 10 pm. one month notice required before vacating. maintenance charges are extra.,"need a unfurnished home in chennai, prefer bachelors/family.",walls need minor repainting. good natural light in living room. kitchen cabinets in good condition.,no,not_applicable,1
7000,2022-05-12,2,450,1 out of 2,super area,pammal,chennai,semi-furnished,bachelors/family,1,contact owner,"2 bhk semi-furnished home in pammal, chennai","2 bhk semi-furnished home of 450 sq ft (super area). location: pammal, chennai. floor: 1 out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 7000 per month.","visitor parking, intercom, waste management, internet ready, fire safety",near mall (1.3 km); near church (3.3 km),owner is responsive and helpful. | parking is convenient and secure. | spacious rooms and good ventilation.,not_applicable,maintenance charges are extra. no smoking inside the house. no loud music after 10 pm. pets allowed only with prior approval.,searching for a rental with parking and lift around pammal.,bathrooms are clean and functional. flooring shows normal wear.,no,not_applicable,1
6500,2022-05-12,1,500,1 out of 3,super area,velachery,chennai,furnished,bachelors/family,1,contact owner,"1 bhk furnished home in velachery, chennai","1 bhk furnished home of 500 sq ft (super area). location: velachery, chennai. floor: 1 out of 3. bathrooms: 1. tenant preference: bachelors/family. rent: inr 6500 per month.","maintenance staff, internet ready, visitor parking, parking, gated community, play area, lift, community hall",near pharmacy (3.8 km); near atm (0.3 km),spacious rooms and good ventilation. | maintenance is timely and professional. | owner is responsive and helpful.,not_applicable,pets allowed only with prior approval. security deposit is two months rent. maintenance charges are extra. no loud music after 10 pm.,searching for a rental with parking and lift around velachery.,good natural light in living room. bathrooms are clean and functional. walls need minor repainting.,no,not_applicable,1
