Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Description,IsSynthetic
2022-07-06,2,10500,1080,1 out of 2,Super Area,Ponmar,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 1080 sq ft (super area) in Ponmar, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 10500.",No
2022-05-26,2,29000,1300,Ground out of 2,Super Area,Annanagar west,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 1300 sq ft (super area) in Annanagar west, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 29000.",No
2022-07-10,2,26000,1027,15 out of 19,Super Area,Karapakkam,Chennai,Semi-Furnished,Bachelors,2,Contact Agent,"2 BHK semi-furnished home of 1027 sq ft (super area) in Karapakkam, Chennai. Located on 15 out of 19. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 26000.",No
2022-07-06,3,25000,1350,Ground out of 2,Super Area,Alandur,Chennai,Furnished,Family,3,Contact Owner,"3 BHK furnished home of 1350 sq ft (super area) in Alandur, Chennai. Located on Ground out of 2. Suitable for Family. 3 bathroom(s). Monthly rent: INR 25000.",No
2022-05-12,2,10000,950,1 out of 2,Super Area,Selaiyur,Chennai,Unfurnished,Family,2,Contact Owner,"2 BHK unfurnished home of 950 sq ft (super area) in Selaiyur, Chennai. Located on 1 out of 2. Suitable for Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-05-12,2,14000,1300,1 out of 2,Super Area,Iyyappanthangal,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 1300 sq ft (super area) in Iyyappanthangal, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 14000.",No
2022-05-12,2,6000,600,1 out of 3,Super Area,Poonamallee,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"2 BHK unfurnished home of 600 sq ft (super area) in Poonamallee, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 6000.",No
2022-05-16,3,40000,1428,Ground out of 2,Super Area,"Chromepet, GST Road",Chennai,Unfurnished,Bachelors,2,Contact Owner,"3 BHK unfurnished home of 1428 sq ft (super area) in Chromepet, GST Road, Chennai. Located on Ground out of 2. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 40000.",No
2022-06-20,2,23000,920,2 out of 2,Carpet Area,KK Nagar,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 920 sq ft (carpet area) in KK Nagar, Chennai. Located on 2 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 23000.",No
2022-06-28,2,10000,600,Ground out of 2,Carpet Area,Sadhanadhapuram,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 600 sq ft (carpet area) in Sadhanadhapuram, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-06-11,2,10000,810,Ground out of 1,Carpet Area,"Tambaram West, Tambaram, Chennai Bypass Road",Chennai,Unfurnished,Bachelors,1,Contact Owner,"2 BHK unfurnished home of 810 sq ft (carpet area) in Tambaram West, Tambaram, Chennai Bypass Road, Chennai. Located on Ground out of 1. Suitable for Bachelors. 1 bathroom(s). Monthly rent: INR 10000.",No
2022-06-02,2,15000,1200,Ground out of 2,Super Area,Ramapuram,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 1200 sq ft (super area) in Ramapuram, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-05-12,1,11000,550,3 out of 4,Super Area,Poongavanapuram,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"1 BHK semi-furnished home of 550 sq ft (super area) in Poongavanapuram, Chennai. Located on 3 out of 4. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 11000.",No
2022-05-12,2,20000,600,1 out of 2,Super Area,"Egmore, PH Road",Chennai,Unfurnished,Family,1,Contact Owner,"2 BHK unfurnished home of 600 sq ft (super area) in Egmore, PH Road, Chennai. Located on 1 out of 2. Suitable for Family. 1 bathroom(s). Monthly rent: INR 20000.",No
2022-05-12,2,15000,850,Ground out of 2,Super Area,Old Mahabalipuram Road,Chennai,Furnished,Bachelors/Family,1,Contact Owner,"2 BHK furnished home of 850 sq ft (super area) in Old Mahabalipuram Road, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 15000.",No
2022-06-27,4,22000,2117,20 out of 20,Carpet Area,Sholinganallur,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Owner,"4 BHK semi-furnished home of 2117 sq ft (carpet area) in Sholinganallur, Chennai. Located on 20 out of 20. Suitable for Bachelors/Family. 4 bathroom(s). Monthly rent: INR 22000.",No
2022-04-30,2,6000,900,1 out of 1,Super Area,Guduvancheri,Chennai,Unfurnished,Bachelors,2,Contact Owner,"2 BHK unfurnished home of 900 sq ft (super area) in Guduvancheri, Chennai. Located on 1 out of 1. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 6000.",No
2022-05-12,2,20000,1000,Ground out of 1,Super Area,Thiruvanmiyur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 1000 sq ft (super area) in Thiruvanmiyur, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 20000.",No
2022-05-12,1,6500,500,2 out of 3,Super Area,"Aminjikarai, PH Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 500 sq ft (super area) in Aminjikarai, PH Road, Chennai. Located on 2 out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 6500.",No
2022-05-12,2,12000,800,1 out of 3,Super Area,"Purasawalkam, PH Road",Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"2 BHK semi-furnished home of 800 sq ft (super area) in Purasawalkam, PH Road, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 12000.",No
2022-05-12,2,27000,1550,2 out of 3,Super Area,Alwarpet,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,"2 BHK semi-furnished home of 1550 sq ft (super area) in Alwarpet, Chennai. Located on 2 out of 3. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 27000.",No
2022-05-12,2,15000,1500,Ground out of 1,Super Area,Madanankppam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 1500 sq ft (super area) in Madanankppam, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-05-15,3,20000,1700,Ground out of 1,Carpet Area,Thirumazhisai,Chennai,Furnished,Bachelors/Family,6,Contact Owner,"3 BHK furnished home of 1700 sq ft (carpet area) in Thirumazhisai, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 6 bathroom(s). Monthly rent: INR 20000.",No
2022-06-28,2,22000,700,3 out of 4,Super Area,T Nagar,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 700 sq ft (super area) in T Nagar, Chennai. Located on 3 out of 4. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 22000.",No
2022-05-12,1,7000,400,1 out of 3,Super Area,Koyambedu,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 400 sq ft (super area) in Koyambedu, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 7000.",No
2022-05-12,2,7000,450,1 out of 2,Super Area,Pammal,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"2 BHK semi-furnished home of 450 sq ft (super area) in Pammal, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 7000.",No
2022-05-12,1,6500,500,1 out of 3,Super Area,Velachery,Chennai,Furnished,Bachelors/Family,1,Contact Owner,"1 BHK furnished home of 500 sq ft (super area) in Velachery, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 6500.",No
2022-05-12,2,9000,770,1 out of 2,Super Area,"Tambaram, GST Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 770 sq ft (super area) in Tambaram, GST Road, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 9000.",No
2022-05-25,1,4500,150,Ground out of 2,Super Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"1 BHK semi-furnished home of 150 sq ft (super area) in Velachery, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 4500.",No
2022-05-21,2,12000,850,Ground out of 2,Super Area,Perambur,Chennai,Unfurnished,Family,2,Contact Owner,"2 BHK unfurnished home of 850 sq ft (super area) in Perambur, Chennai. Located on Ground out of 2. Suitable for Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-06-21,2,18000,1100,Ground out of 3,Carpet Area,Iyyappanthangal,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,"2 BHK semi-furnished home of 1100 sq ft (carpet area) in Iyyappanthangal, Chennai. Located on Ground out of 3. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 18000.",No
2022-06-28,2,8000,650,Ground out of 1,Carpet Area,"Bunder Garden, Perambur",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"2 BHK unfurnished home of 650 sq ft (carpet area) in Bunder Garden, Perambur, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 8000.",No
2022-05-24,1,5000,550,1 out of 1,Super Area,Sikkarayapuram,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 550 sq ft (super area) in Sikkarayapuram, Chennai. Located on 1 out of 1. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 5000.",No
2022-05-12,2,14000,1000,1 out of 3,Super Area,Kanathur Reddikuppam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 1000 sq ft (super area) in Kanathur Reddikuppam, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 14000.",No
2022-05-12,1,6500,250,Ground out of 5,Super Area,Adambakkam,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"1 BHK semi-furnished home of 250 sq ft (super area) in Adambakkam, Chennai. Located on Ground out of 5. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 6500.",No
2022-06-23,2,10000,790,2 out of 2,Carpet Area,Kovilancheri,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 790 sq ft (carpet area) in Kovilancheri, Chennai. Located on 2 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-04-30,2,13000,600,1 out of 3,Super Area,Medavakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 600 sq ft (super area) in Medavakkam, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 13000.",No
2022-04-30,2,11200,700,1 out of 2,Super Area,Nanganallur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 700 sq ft (super area) in Nanganallur, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 11200.",No
2022-06-02,1,8900,550,Ground out of 1,Carpet Area,"Karambakkam, Porur",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 550 sq ft (carpet area) in Karambakkam, Porur, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 8900.",No
2022-05-16,1,12000,500,Ground out of 2,Super Area,Arumbakkam,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 500 sq ft (super area) in Arumbakkam, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 12000.",No
2022-07-05,3,45000,1800,2 out of 4,Carpet Area,Royapettah,Chennai,Unfurnished,Bachelors,3,Contact Agent,"3 BHK unfurnished home of 1800 sq ft (carpet area) in Royapettah, Chennai. Located on 2 out of 4. Suitable for Bachelors. 3 bathroom(s). Monthly rent: INR 45000.",No
2022-05-29,3,35000,1550,3 out of 4,Carpet Area,Thiruvanmiyur,Chennai,Semi-Furnished,Bachelors,2,Contact Agent,"3 BHK semi-furnished home of 1550 sq ft (carpet area) in Thiruvanmiyur, Chennai. Located on 3 out of 4. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 35000.",No
2022-07-10,3,34999,1462,3 out of 4,Carpet Area,Nandambakkam,Chennai,Semi-Furnished,Family,3,Contact Agent,"3 BHK semi-furnished home of 1462 sq ft (carpet area) in Nandambakkam, Chennai. Located on 3 out of 4. Suitable for Family. 3 bathroom(s). Monthly rent: INR 34999.",No
2022-06-17,2,11000,970,Ground out of 2,Carpet Area,Pallikaranai,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,"2 BHK semi-furnished home of 970 sq ft (carpet area) in Pallikaranai, Chennai. Located on Ground out of 2. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 11000.",No
2022-05-29,3,150000,2300,11 out of 18,Carpet Area,"Adyar, Sardar Patel Road",Chennai,Semi-Furnished,Bachelors,3,Contact Agent,"3 BHK semi-furnished home of 2300 sq ft (carpet area) in Adyar, Sardar Patel Road, Chennai. Located on 11 out of 18. Suitable for Bachelors. 3 bathroom(s). Monthly rent: INR 150000.",No
2022-06-22,2,15000,700,1 out of 2,Super Area,Nanganallur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"2 BHK unfurnished home of 700 sq ft (super area) in Nanganallur, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 15000.",No
2022-06-17,2,15000,674,Ground out of 3,Carpet Area,"Chromepet, GST Road",Chennai,Unfurnished,Bachelors,2,Contact Owner,"2 BHK unfurnished home of 674 sq ft (carpet area) in Chromepet, GST Road, Chennai. Located on Ground out of 3. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-05-29,2,10000,750,Ground out of 1,Carpet Area,Tambaram East,Chennai,Unfurnished,Family,2,Contact Owner,"2 BHK unfurnished home of 750 sq ft (carpet area) in Tambaram East, Chennai. Located on Ground out of 1. Suitable for Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-05-16,2,12000,1000,Ground out of 2,Super Area,Tambaram Sanatorium,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 1000 sq ft (super area) in Tambaram Sanatorium, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-05-26,2,10000,1030,1 out of 2,Carpet Area,Camp Road,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 1030 sq ft (carpet area) in Camp Road, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-05-18,3,35000,1540,3 out of 4,Carpet Area,Ranganathapuram-Medavakkam,Chennai,Furnished,Bachelors,2,Contact Owner,"3 BHK furnished home of 1540 sq ft (carpet area) in Ranganathapuram-Medavakkam, Chennai. Located on 3 out of 4. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 35000.",No
2022-06-29,3,40000,1800,3 out of 5,Carpet Area,T Nagar,Chennai,Unfurnished,Bachelors,3,Contact Agent,"3 BHK unfurnished home of 1800 sq ft (carpet area) in T Nagar, Chennai. Located on 3 out of 5. Suitable for Bachelors. 3 bathroom(s). Monthly rent: INR 40000.",No
2022-05-29,2,24000,1100,2 out of 2,Super Area,Kodambakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 1100 sq ft (super area) in Kodambakkam, Chennai. Located on 2 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 24000.",No
2022-06-11,2,12000,985,3 out of 17,Super Area,Oragadam Sriperumbudur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 985 sq ft (super area) in Oragadam Sriperumbudur, Chennai. Located on 3 out of 17. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-07-06,2,30000,1200,3 out of 3,Carpet Area,Mandaiveli,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent,"2 BHK semi-furnished home of 1200 sq ft (carpet area) in Mandaiveli, Chennai. Located on 3 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 30000.",No
2022-06-01,2,10000,1200,1 out of 1,Super Area,"Tambaram, GST Road",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 1200 sq ft (super area) in Tambaram, GST Road, Chennai. Located on 1 out of 1. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-07-02,2,15000,900,1 out of 3,Super Area,"Purasawalkam, PH Road",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 900 sq ft (super area) in Purasawalkam, PH Road, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-06-17,2,33000,800,1 out of 4,Carpet Area,Abiramapuram,Chennai,Unfurnished,Bachelors/Family,2,Contact Agent,"2 BHK unfurnished home of 800 sq ft (carpet area) in Abiramapuram, Chennai. Located on 1 out of 4. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 33000.",No
2022-07-06,2,9000,800,1 out of 3,Super Area,"Perungalathur, Chennai Bypass Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 800 sq ft (super area) in Perungalathur, Chennai Bypass Road, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 9000.",No
2022-05-25,3,30000,1500,3 out of 4,Super Area,"Okkiyam Thuraipakkam, E Coast Road",Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,"3 BHK semi-furnished home of 1500 sq ft (super area) in Okkiyam Thuraipakkam, E Coast Road, Chennai. Located on 3 out of 4. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 30000.",No
2022-06-07,2,13000,680,1 out of 1,Super Area,T.Nagar,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 680 sq ft (super area) in T.Nagar, Chennai. Located on 1 out of 1. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 13000.",No
2022-06-20,2,15000,800,1 out of 2,Super Area,"KK Nagar West, KK Nagar",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 800 sq ft (super area) in KK Nagar West, KK Nagar, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-07-06,2,12000,875,2 out of 2,Super Area,Madipakkam,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,"2 BHK semi-furnished home of 875 sq ft (super area) in Madipakkam, Chennai. Located on 2 out of 2. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-05-07,2,20000,880,1 out of 2,Carpet Area,KK Nagar,Chennai,Semi-Furnished,Family,2,Contact Owner,"2 BHK semi-furnished home of 880 sq ft (carpet area) in KK Nagar, Chennai. Located on 1 out of 2. Suitable for Family. 2 bathroom(s). Monthly rent: INR 20000.",No
2022-07-07,3,36000,1500,2 out of 3,Super Area,Choolaimedu,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,"3 BHK semi-furnished home of 1500 sq ft (super area) in Choolaimedu, Chennai. Located on 2 out of 3. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 36000.",No
2022-05-21,2,10000,950,1 out of 1,Super Area,Sithalapakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 950 sq ft (super area) in Sithalapakkam, Chennai. Located on 1 out of 1. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-07-08,2,16000,850,Ground out of 2,Super Area,Mambalam West,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 850 sq ft (super area) in Mambalam West, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 16000.",No
2022-07-05,1,6000,700,1 out of 2,Super Area,Pachaiyamman Nagar,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"1 BHK semi-furnished home of 700 sq ft (super area) in Pachaiyamman Nagar, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 6000.",No
2022-06-28,3,22000,2000,Ground out of 1,Super Area,"Pushpa Colony, Saligramam",Chennai,Semi-Furnished,Family,2,Contact Owner,"3 BHK semi-furnished home of 2000 sq ft (super area) in Pushpa Colony, Saligramam, Chennai. Located on Ground out of 1. Suitable for Family. 2 bathroom(s). Monthly rent: INR 22000.",No
2022-05-16,1,6000,450,Ground out of 4,Super Area,Nungambakkam,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 450 sq ft (super area) in Nungambakkam, Chennai. Located on Ground out of 4. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 6000.",No
2022-06-28,1,6500,400,2 out of 2,Super Area,Perungudi,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 400 sq ft (super area) in Perungudi, Chennai. Located on 2 out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 6500.",No
2022-05-12,1,3000,350,1 out of 2,Super Area,Ennore,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 350 sq ft (super area) in Ennore, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 3000.",No
2022-05-04,3,27000,1650,2 out of 2,Carpet Area,"Thillai Ganga Nagar, Nanganallur",Chennai,Semi-Furnished,Family,3,Contact Owner,"3 BHK semi-furnished home of 1650 sq ft (carpet area) in Thillai Ganga Nagar, Nanganallur, Chennai. Located on 2 out of 2. Suitable for Family. 3 bathroom(s). Monthly rent: INR 27000.",No
2022-04-30,2,8000,800,Ground out of 2,Super Area,"Tambaram, GST Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"2 BHK unfurnished home of 800 sq ft (super area) in Tambaram, GST Road, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 8000.",No
2022-05-20,2,12500,600,1 out of 2,Super Area,Abiramapuram,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"2 BHK unfurnished home of 600 sq ft (super area) in Abiramapuram, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 12500.",No
2022-07-08,2,11000,800,1 out of 2,Super Area,Perungudi,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"2 BHK unfurnished home of 800 sq ft (super area) in Perungudi, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 11000.",No
2022-07-08,3,40000,1600,1 out of 2,Super Area,Raja Annamalai Puram,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,"3 BHK semi-furnished home of 1600 sq ft (super area) in Raja Annamalai Puram, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 40000.",No
