City,Area Locality,Rent,Size,BHK,Bathroom,Furnishing Status,Tenant Preferred
chennai,"kapaleeswarar nagar, neelankarai, e coast road",150000,2400,3,3,furnished,bachelors/family
chennai,navalur,25000,1145,2,2,semi-furnished,bachelors
chennai,"padur, old mahabalipuram road",18000,750,2,2,semi-furnished,bachelors/family
chennai,"valasaravakkam, arcot road",17000,1250,3,3,semi-furnished,bachelors/family
chennai,anakaputhur,8500,900,2,2,unfurnished,bachelors/family
chennai,pudupakkam,15000,800,3,2,semi-furnished,bachelors
chennai,ashok nagar,22000,800,2,2,semi-furnished,bachelors/family
chennai,"perungalathur, chennai bypass road",15000,900,2,2,semi-furnished,bachelors/family
chennai,anna nagar-pammal,10000,600,2,1,unfurnished,bachelors/family
chennai,"aminjikarai, ph road",5000,250,1,1,unfurnished,bachelors/family
chennai,mannivakkam,10000,910,2,2,semi-furnished,bachelors/family
chennai,kovilambakkam,15000,1350,3,3,unfurnished,bachelors/family
chennai,teynampet,34500,450,3,3,semi-furnished,bachelors
chennai,velachery,8000,600,1,1,unfurnished,bachelors/family
chennai,madras boat club road,330000,3600,3,3,semi-furnished,bachelors/family
chennai,"r.a puram, mandaiveli",22000,800,2,2,unfurnished,family
chennai,ags colony-velachery,13000,850,2,2,unfurnished,family
chennai,"tiruvallur, kakkalur, chennai",6500,1000,2,2,semi-furnished,bachelors/family
chennai,velachery,18000,900,2,2,semi-furnished,bachelors
chennai,uthandi,30000,2400,3,3,furnished,bachelors/family
chennai,dr ranga road,8500,400,1,1,unfurnished,bachelors/family
chennai,old mahabalipuram road,20000,1900,4,4,semi-furnished,family
chennai,kolathur,12000,900,2,2,semi-furnished,bachelors/family
chennai,gopalapuram,18000,805,2,2,semi-furnished,bachelors/family
chennai,"saidapet west, saidapet",19000,1200,2,2,unfurnished,bachelors/family
chennai,manikandan nagar,12000,800,2,2,furnished,bachelors/family
chennai,"urapakkam, vandalur r.f, gst road",16000,1158,3,2,semi-furnished,bachelors/family
chennai,redhills,5700,400,1,1,unfurnished,bachelors/family
chennai,mylapore,15000,450,1,1,unfurnished,bachelors/family
chennai,kovilambakkam,11000,960,2,2,semi-furnished,family
chennai,mambakkam,17000,1400,3,2,semi-furnished,bachelors/family
chennai,thoraipakkam,18000,970,2,2,furnished,bachelors/family
chennai,old washermanpet,9500,1000,2,2,unfurnished,bachelors/family
chennai,adambakkam,12000,900,2,2,semi-furnished,bachelors/family
chennai,"urapakkam, vandalur r.f, gst road",8000,800,2,2,semi-furnished,bachelors/family
chennai,new perungalathur,12000,1100,2,1,semi-furnished,family
chennai,thiruvanmiyur,16000,800,2,2,unfurnished,bachelors/family
chennai,poonamalle,8000,800,2,1,unfurnished,bachelors/family
chennai,kalavakkam,10000,898,2,2,semi-furnished,family
chennai,vadapalani,15000,800,2,2,semi-furnished,bachelors/family
chennai,vandalur,7500,600,2,1,unfurnished,bachelors/family
chennai,rgl bungalows,30000,2000,3,3,furnished,bachelors/family
chennai,chennai,16000,870,2,2,unfurnished,bachelors/family
chennai,old mahabalipuram road,14000,1100,2,2,semi-furnished,family
chennai,near jeyachandran textiles,10000,650,2,2,unfurnished,bachelors/family
chennai,"korattur, jawaharlal nehru road",25000,1100,3,2,unfurnished,bachelors
chennai,s.kolathur,11500,1250,2,2,semi-furnished,bachelors/family
chennai,ambattur,11000,1145,2,2,unfurnished,bachelors/family
chennai,madipakkam,10000,780,2,2,semi-furnished,bachelors/family
chennai,"kelambakkam, old mahabalipuram road",7000,680,1,1,unfurnished,bachelors/family
chennai,ashok nagar,18000,860,2,2,semi-furnished,bachelors/family
chennai,"perungalathur, chennai bypass road",7500,600,1,1,unfurnished,bachelors/family
chennai,oragadam,7500,750,2,1,semi-furnished,bachelors/family
chennai,chitlapakkam,12000,800,2,2,unfurnished,bachelors/family
chennai,"perungalathur, chennai bypass road",12000,570,2,2,unfurnished,bachelors/family
chennai,raja annamalai puram,40000,1150,2,2,furnished,bachelors/family
chennai,kolathur,5000,350,1,1,unfurnished,bachelors/family
chennai,tiruvenkadam nagar,20000,894,2,2,semi-furnished,bachelors/family
chennai,perambur,6500,600,1,1,semi-furnished,bachelors/family
chennai,anakaputhur,12000,900,3,2,semi-furnished,bachelors/family
chennai,"purasawalkam, ph road",12000,550,1,1,unfurnished,bachelors/family
chennai,sholinganallur,14000,717,2,2,semi-furnished,bachelors/family
chennai,virugambakkam,13000,660,2,2,semi-furnished,family
chennai,sivalingapuram,9000,700,1,1,semi-furnished,family
chennai,navalur,10000,800,1,1,semi-furnished,bachelors/family
chennai,medavakkam,15000,1070,3,2,unfurnished,family
chennai,anna nagar west extension,15000,1000,2,2,semi-furnished,family
chennai,porur,19000,1500,2,2,semi-furnished,bachelors/family
chennai,velachery,15000,900,2,2,unfurnished,bachelors/family
chennai,pallikaranai,16000,1700,2,2,unfurnished,bachelors/family
chennai,"perungalathur, chennai bypass road",12000,900,2,2,semi-furnished,bachelors/family
chennai,"madhavaram, guntur chennai highway",11000,805,2,2,unfurnished,bachelors/family
chennai,kovur,8000,750,2,2,unfurnished,bachelors/family
chennai,"singaperumal koil, tiruchi chennai highway",10000,1000,2,2,furnished,bachelors/family
chennai,t nagar,70000,1500,3,3,furnished,bachelors/family
chennai,"panaiyur, e coast road",45000,3200,3,3,unfurnished,bachelors/family
chennai,vadapalani,60000,1700,3,3,semi-furnished,bachelors/family
chennai,maduravoyal,12000,1000,2,2,semi-furnished,bachelors/family
chennai,mandaiveli,80000,2036,3,3,semi-furnished,bachelors
chennai,"kannan colony, pazhavanthangal",23999,610,2,1,furnished,bachelors/family
chennai,thoraipakkam,23000,1100,2,2,furnished,bachelors/family
chennai,thirumangalam-anna nagar west,16000,900,2,2,semi-furnished,bachelors
chennai,"krishna nagar-chromepet, chromepet",14000,840,2,2,semi-furnished,bachelors/family
chennai,mangadu,13000,965,3,2,semi-furnished,bachelors/family
chennai,tiruvottiyur,14000,800,2,2,unfurnished,bachelors/family
chennai,ponneri,7000,700,1,2,unfurnished,bachelors/family
chennai,"kundrathur, pallavaram kundrathur main road",3500,600,1,1,unfurnished,bachelors
chennai,355 konnur highroad ayanavaram,12000,650,1,2,semi-furnished,family
chennai,kolathur,8000,320,1,1,unfurnished,bachelors/family
chennai,"aminjikarai, ph road",25000,700,2,1,semi-furnished,bachelors/family
chennai,velachery,12000,850,2,2,unfurnished,bachelors/family
chennai,"valasaravakkam, arcot road",7000,550,1,1,unfurnished,bachelors/family
chennai,"padur, old mahabalipuram road",20000,1400,3,3,semi-furnished,family
chennai,velachery,18000,1300,2,2,unfurnished,bachelors/family
chennai,thalambur,15000,1125,2,2,semi-furnished,bachelors/family
chennai,mugalivakkam,11000,780,2,2,semi-furnished,family
chennai,alwarpet,65000,2200,3,3,unfurnished,bachelors
chennai,mandaiveli,75000,2500,3,3,unfurnished,bachelors/family
chennai,anna nagar,15000,1300,1,2,furnished,bachelors
chennai,"chromepet, gst road",12000,619,2,1,furnished,bachelors/family
chennai,ambattur,8500,700,2,1,semi-furnished,bachelors/family
chennai,ashok nagar,38000,2100,3,3,semi-furnished,bachelors/family
chennai,ashok nagar,30000,2000,3,3,unfurnished,bachelors/family
chennai,venkatesa perumal nagar,9000,700,1,1,semi-furnished,bachelors/family
chennai,"kattupakkam, ph road",25000,2000,3,3,semi-furnished,bachelors/family
chennai,"valasaravakkam, arcot road",9000,600,2,2,unfurnished,bachelors/family
chennai,"arunachalam nagar, madipakkam",8500,550,1,2,unfurnished,bachelors
chennai,"pazhavanthangal, jawaharlal nehru road",7000,300,1,1,unfurnished,bachelors/family
chennai,anna nagar,25000,800,2,2,semi-furnished,bachelors
chennai,mathur,8500,850,2,2,unfurnished,bachelors/family
chennai,mahindra world city,6500,450,1,1,semi-furnished,bachelors/family
chennai,ambattur,7000,500,1,1,unfurnished,bachelors/family
chennai,choolaimedu,4500,115,1,1,unfurnished,bachelors
chennai,"r.a puram, mandaiveli",22000,800,2,2,unfurnished,bachelors/family
chennai,ambattur,10000,600,2,1,semi-furnished,family
chennai,harrington road,16000,800,2,2,unfurnished,bachelors/family
chennai,mrc nagar,85000,1725,3,2,furnished,bachelors/family
chennai,madipakkam,15000,1330,2,2,furnished,bachelors/family
chennai,old mahabalipuram road,25000,2064,3,4,semi-furnished,family
chennai,"kamakoti nagar, pallikaranai",9000,700,1,1,semi-furnished,bachelors/family
chennai,"korattur, jawaharlal nehru road",20000,900,2,2,semi-furnished,bachelors/family
chennai,veerapuram,15000,1066,2,2,unfurnished,family
chennai,"tambaram west, tambaram, chennai bypass road",9000,700,2,2,semi-furnished,bachelors
chennai,"ram nagar south extension, madipakkam",14000,900,2,2,furnished,bachelors/family
chennai,choolaimedu,15000,700,2,2,semi-furnished,bachelors/family
chennai,"chromepet, gst road",14000,950,3,2,semi-furnished,bachelors/family
chennai,chitlapakkam,8000,850,2,2,unfurnished,bachelors/family
chennai,mahindra world city,13500,600,2,2,furnished,bachelors/family
chennai,medavakkam,12000,750,2,2,semi-furnished,bachelors
chennai,anakaputhur,7500,850,2,2,unfurnished,bachelors/family
chennai,madipakkam,20000,1650,3,3,semi-furnished,bachelors
chennai,medavakkam,11000,960,2,2,unfurnished,family
chennai,"tambaram west, tambaram, chennai bypass road",11000,1200,2,2,unfurnished,bachelors
chennai,thiruvanmiyur,17500,650,2,2,furnished,bachelors/family
chennai,"kamakshiamman nagar layout, iyyappanthangal",8000,800,2,2,unfurnished,bachelors/family
chennai,c.r.r. puram l&t colony,25000,1350,3,3,semi-furnished,bachelors/family
chennai,tambaram east,12000,560,2,2,semi-furnished,family
chennai,madipakkam,5250,250,1,1,unfurnished,bachelors/family
chennai,alwarpet,25000,685,2,2,unfurnished,bachelors
chennai,sithalapakkam,14000,1021,2,2,semi-furnished,bachelors/family
chennai,kellys,24000,1200,3,3,unfurnished,bachelors/family
chennai,manapakkam,35000,1557,3,3,semi-furnished,bachelors/family
chennai,pallikaranai,8000,550,2,1,unfurnished,bachelors/family
chennai,adambakkam,16000,800,2,2,semi-furnished,bachelors/family
chennai,sholinganallur,28000,917,3,2,semi-furnished,family
chennai,porur,16000,960,2,2,semi-furnished,bachelors/family
chennai,medavakkam,13000,1000,2,2,unfurnished,bachelors/family
chennai,"adyar, sardar patel road",35000,1000,2,2,furnished,bachelors
chennai,new kumaran nagar,11000,579,1,1,semi-furnished,bachelors/family
chennai,n g o nagar extn ponneri,5000,800,1,1,unfurnished,bachelors/family
chennai,gopalapuram,23000,1100,2,2,unfurnished,bachelors
chennai,mannivakkam,11000,635,2,2,semi-furnished,bachelors
chennai,"padur, old mahabalipuram road",25000,1700,3,3,semi-furnished,bachelors/family
chennai,kolathur,4500,600,1,1,unfurnished,bachelors/family
chennai,sholinganallur,100000,2500,4,4,unfurnished,bachelors/family
chennai,thoraipakkam,47500,1920,3,3,semi-furnished,family
chennai,kolapakkam - vandalur-kelambakkam road,7500,850,2,2,semi-furnished,bachelors
chennai,"nemilichery, chromepet",16500,1850,3,3,unfurnished,bachelors
chennai,"central bank colony, chromepet",18000,1375,2,1,furnished,family
chennai,tambaram east,7000,700,2,2,unfurnished,bachelors/family
chennai,velachery,8000,700,1,2,unfurnished,bachelors/family
chennai,perambur,10000,675,1,1,unfurnished,bachelors/family
chennai,ayappakkam,7000,900,3,2,unfurnished,bachelors/family
chennai,"gowrivakkam, sembakkam",35000,1020,2,2,furnished,bachelors/family
chennai,"palavakkam, e coast road",100000,3000,4,4,unfurnished,bachelors
chennai,porur,13000,800,2,1,semi-furnished,bachelors
chennai,pammal,10000,600,2,1,unfurnished,bachelors/family
chennai,"valasaravakkam, arcot road",14000,890,2,2,unfurnished,family
chennai,thoraipakkam,46000,1700,3,3,semi-furnished,bachelors/family
chennai,"adyar, sardar patel road",65000,2000,4,3,semi-furnished,bachelors
chennai,medavakkam,9000,800,2,2,semi-furnished,bachelors/family
chennai,mangadu,13500,1002,3,2,furnished,bachelors/family
chennai,koyambedu,29000,1225,3,3,semi-furnished,bachelors/family
chennai,"kannan colony, pazhavanthangal",23999,610,2,1,furnished,bachelors/family
chennai,thiruvanmiyur,26000,1200,3,3,semi-furnished,family
chennai,anakaputhur,8200,850,2,2,unfurnished,bachelors/family
chennai,royapettah,15000,500,1,1,semi-furnished,family
chennai,sholinganallur,10000,778,2,2,unfurnished,bachelors/family
chennai,oragadam,20000,850,2,2,unfurnished,bachelors
chennai,adambakkam,15000,800,2,2,unfurnished,bachelors/family
chennai,"valasaravakkam, arcot road",14000,1200,2,2,semi-furnished,bachelors/family
chennai,vivekanathanagar kolathur,11000,750,2,2,unfurnished,bachelors/family
chennai,jawahar nagar,6500,550,1,1,unfurnished,bachelors/family
chennai,old mahabalipuram road,26000,1567,3,3,furnished,bachelors/family
chennai,"nemilichery, chromepet",7500,650,1,1,semi-furnished,bachelors/family
chennai,"zamin pallavaram, pallavaram",14500,1150,2,2,unfurnished,bachelors
chennai,raja annamalai puram,280000,4500,6,5,semi-furnished,bachelors
chennai,"shenoy nagar, ph road",12000,900,2,2,unfurnished,bachelors/family
chennai,mylapore,45000,1450,3,2,unfurnished,bachelors
chennai,virugambakkam,22000,850,2,2,semi-furnished,bachelors/family
chennai,sembakkam,7000,550,1,1,unfurnished,bachelors/family
chennai,"ganapathipuram, chromepet",7000,600,1,1,unfurnished,bachelors/family
chennai,"chetpet, ph road",45000,1200,2,2,furnished,bachelors/family
chennai,tiruvottiyur,20000,1450,4,4,semi-furnished,bachelors/family
chennai,medavakkam,14000,560,2,2,semi-furnished,family
chennai,ayappakkam,18000,1113,2,2,semi-furnished,family
chennai,"chromepet, gst road",20000,1600,3,4,semi-furnished,bachelors/family
chennai,arumbakkam,10000,550,1,1,unfurnished,bachelors/family
chennai,kasi estate,25000,1200,2,2,unfurnished,bachelors/family
chennai,elango nagar-virugambakkam,18000,900,2,2,semi-furnished,family
chennai,"tondiarpet, ennore high road",5000,800,1,1,unfurnished,family
chennai,"perungalathur, chennai bypass road",12000,1200,2,2,semi-furnished,bachelors/family
chennai,kodungaiyur west,13000,1000,2,2,semi-furnished,bachelors/family
chennai,nandanam extension,30000,1100,2,2,semi-furnished,bachelors/family
chennai,mugalivakkam,9000,700,2,1,furnished,bachelors/family
chennai,triplicane,12000,650,1,1,unfurnished,bachelors/family
chennai,"korattur, jawaharlal nehru road",30000,1500,3,2,semi-furnished,family
chennai,lanchor abode valley,20000,1175,3,2,furnished,bachelors
chennai,nesapakkam,12000,750,2,2,unfurnished,bachelors/family
chennai,"urapakkam, vandalur r.f, gst road",9500,1010,2,2,semi-furnished,bachelors/family
chennai,"baby nagar extention, velachery",22000,1050,2,2,semi-furnished,family
chennai,mogappair east,23000,1060,3,2,unfurnished,bachelors
chennai,ambattur,9500,900,2,2,unfurnished,bachelors/family
chennai,"padur, old mahabalipuram road",13500,1000,2,2,semi-furnished,family
chennai,mambalam west,12000,450,1,1,unfurnished,bachelors/family
chennai,iyyappanthangal,33000,1600,3,3,semi-furnished,bachelors/family
chennai,iyyappanthangal,33000,1760,3,3,semi-furnished,bachelors/family
chennai,porur,18999,618,2,2,semi-furnished,bachelors/family
chennai,pammal,18000,1220,3,2,semi-furnished,bachelors/family
chennai,pallavaram,8500,580,1,1,unfurnished,bachelors/family
chennai,perumbakkam,20000,1651,3,3,semi-furnished,family
chennai,"urapakkam, vandalur r.f, gst road",9000,705,2,2,semi-furnished,bachelors/family
chennai,thiruverkkadu,7000,700,1,1,unfurnished,bachelors/family
chennai,iyyappanthangal,53000,1700,3,3,furnished,bachelors/family
chennai,mugalivakkam,14000,901,2,2,unfurnished,bachelors/family
chennai,navalur,21000,1100,2,2,furnished,bachelors/family
chennai,selaiyur,16000,1120,3,2,semi-furnished,bachelors/family
chennai,"chetpet, ph road",26000,1300,2,2,semi-furnished,bachelors
chennai,thalambur,20000,1350,3,3,furnished,bachelors
chennai,iyyappanthangal,25000,1340,2,2,semi-furnished,family
chennai,"neelankarai, e coast road",10000,250,1,1,unfurnished,bachelors/family
chennai,madipakkam,11500,700,2,2,semi-furnished,bachelors/family
chennai,old washermanpet,15000,650,2,2,unfurnished,bachelors
chennai,"villivakkam, jawaharlal nehru road",4200,490,1,1,semi-furnished,bachelors/family
chennai,"kelambakkam, old mahabalipuram road",9500,700,2,1,unfurnished,bachelors/family
chennai,selaiyur,8000,580,1,2,unfurnished,bachelors/family
chennai,madipakkam,16000,1400,2,3,semi-furnished,bachelors
chennai,prashant collony extension,12000,850,2,2,semi-furnished,bachelors/family
chennai,sembakkam,12000,850,2,2,semi-furnished,bachelors/family
chennai,kolathur,12000,900,2,2,unfurnished,bachelors/family
chennai,madipakkam,13000,780,2,2,furnished,bachelors/family
chennai,"kelambakkam, old mahabalipuram road",15723,1246,3,2,semi-furnished,bachelors/family
chennai,arumbakkam,6000,300,1,1,semi-furnished,bachelors/family
chennai,pammal,10000,900,2,2,unfurnished,bachelors/family
chennai,mangadu,3000,350,1,1,unfurnished,bachelors/family
chennai,pammal,7500,900,2,2,unfurnished,bachelors/family
chennai,"valasaravakkam, arcot road",18000,1099,2,2,semi-furnished,family
chennai,"padur, old mahabalipuram road",16500,1530,3,3,semi-furnished,bachelors/family
chennai,iyyappanthangal,35000,2000,3,3,semi-furnished,bachelors/family
chennai,madambakkam,15000,1095,3,2,furnished,bachelors/family
chennai,kalavakkam,7000,780,2,2,unfurnished,family
chennai,"chromepet, gst road",38000,1300,3,3,unfurnished,bachelors/family
chennai,annanagar east,20000,900,2,2,semi-furnished,bachelors/family
chennai,mugalivakkam,7500,450,1,1,unfurnished,bachelors/family
chennai,karanai,12500,400,2,2,unfurnished,bachelors/family
chennai,chennai,16000,900,3,2,semi-furnished,bachelors/family
